symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
BTCUSD_PERP.A,A,BTCUSD_PERP,BTC,USD,,True,True,COIN,QUOTE_ASSET,True,True
BTCUSDT.6,6,BTCUSDT,BTC,USDT,,True,True,STABLE,BASE_ASSET,True,True
BTCUSD.6,6,BTCUSD,BTC,USD,,True,True,COIN,QUOTE_ASSET,True,True
BTCUSDC_PERP.A,A,BTCUSDC,BTC,USDC,,True,True,STABLE,BASE_ASSET,True,True
BTCUSDT_PERP.A,A,BTCUSDT,BTC,USDT,,True,True,STABLE,BASE_ASSET,True,True
PERP_BTC_USDT.W,W,PERP_BTC_USDT,BTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
BTCUSD_PERP.4,4,BTC-USD,BTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
pf_xbtusd.K,K,pf_xbtusd,BTC,USD,,True,True,STABLE,BASE_ASSET,False,True
BTC_USDT.Y,Y,BTC_USDT,BTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
BTCUSDC_PERP.3,3,BTC-USDC-SWAP,BTC,USDC,,True,True,STABLE,BASE_ASSET,False,True
BTCUSD_PERP.3,3,BTC-USD-SWAP,BTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
BTCUSDT_PERP.4,4,BTC-USDT,BTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
BTCUSDT_PERP.F,F,BTCF0:USTF0,BTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
BTCUSDT_PERP.0,0,XBTUSDT,BTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
BTC_USDC-PERPETUAL.2,2,BTC_USDC-PERPETUAL,BTC,USDC,,True,True,STABLE,BASE_ASSET,False,True
BTCUSD_PERP.K,K,pi_xbtusd,BTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
BTCUSDT_PERP.3,3,BTC-USDT-SWAP,BTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
BTCETH_PERP.0,0,XBTETH,BTC,ETH,,True,True,COIN,QUOTE_ASSET,False,True
BTC-USD.8,8,BTC-USD,BTC,USD,,True,True,STABLE,BASE_ASSET,False,True
BTCEUR_PERP.0,0,XBTEUR,BTC,EUR,,True,True,COIN,QUOTE_ASSET,False,True
BTCUSD.7,7,BTCUSD,BTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
BTCPERP.6,6,BTCPERP,BTC,USDC,,True,True,STABLE,BASE_ASSET,False,True
BTC-PERPETUAL.2,2,BTC-PERPETUAL,BTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
uBTCUSD.7,7,uBTCUSD,BTC,USD,,True,True,STABLE,BASE_ASSET,False,True
BTC_USD.Y,Y,BTC_USD,BTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
BTC-PERP.V,V,BTC-PERP,BTC,USDC,,True,True,STABLE,BASE_ASSET,False,True
BTCUSD_PERP.0,0,XBTUSD,BTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
