symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data,exchange_name
BTCUSD_PERP.A,A,BTCUSD_PERP,BTC,USD,,TRUE,TRUE,COIN,QUOTE_ASSET,TRUE,TRUE,Binance
BTCUSDT.6,6,BTCUSDT,BTC,USDT,,TRUE,TRUE,STABLE,BASE_ASSET,TRUE,TRUE,Bybit
BTCUSD.6,6,BTCUSD,BTC,USD,,TRUE,TRUE,COIN,QUOTE_ASSET,TRUE,TRUE,Bybit
BTCUSDC_PERP.A,A,BTCUSDC,BTC,USDC,,TRUE,TRUE,STABLE,BASE_ASSET,TRUE,TRUE,Binance
BTCUSDT_PERP.A,A,BTCUSDT,BTC,USDT,,TRUE,TRUE,STABLE,BASE_ASSET,TRUE,TRUE,Binance
PERP_BTC_USDT.W,W,PERP_BTC_USDT,BTC,USDT,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,WOO X
BTCUSD_PERP.4,4,BTC-USD,BTC,USD,,TRUE,TRUE,COIN,QUOTE_ASSET,FALSE,TRUE,Huobi
pf_xbtusd.K,K,pf_xbtusd,BTC,USD,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,Kraken
BTC_USDT.Y,Y,BTC_USDT,BTC,USDT,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,Gate.io
BTCUSDC_PERP.3,3,BTC-USDC-SWAP,BTC,USDC,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,OKX
BTCUSD_PERP.3,3,BTC-USD-SWAP,BTC,USD,,TRUE,TRUE,COIN,QUOTE_ASSET,FALSE,TRUE,OKX
BTCUSDT_PERP.4,4,BTC-USDT,BTC,USDT,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,Huobi
BTCUSDT_PERP.F,F,BTCF0:USTF0,BTC,USDT,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,Bitfinex
BTCUSDT_PERP.0,0,XBTUSDT,BTC,USDT,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,BitMEX
BTC_USDC-PERPETUAL.2,2,BTC_USDC-PERPETUAL,BTC,USDC,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,Deribit
BTCUSD_PERP.K,K,pi_xbtusd,BTC,USD,,TRUE,TRUE,COIN,QUOTE_ASSET,FALSE,TRUE,Kraken
BTCUSDT_PERP.3,3,BTC-USDT-SWAP,BTC,USDT,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,OKX
BTC-USD.8,8,BTC-USD,BTC,USD,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,dYdX
BTCUSD.7,7,BTCUSD,BTC,USD,,TRUE,TRUE,COIN,QUOTE_ASSET,FALSE,TRUE,Phemex
BTCPERP.6,6,BTCPERP,BTC,USDC,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,Bybit
BTC-PERPETUAL.2,2,BTC-PERPETUAL,BTC,USD,,TRUE,TRUE,COIN,QUOTE_ASSET,FALSE,TRUE,Deribit
uBTCUSD.7,7,uBTCUSD,BTC,USD,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,Phemex
BTC_USD.Y,Y,BTC_USD,BTC,USD,,TRUE,TRUE,COIN,QUOTE_ASSET,FALSE,TRUE,Gate.io
BTC-PERP.V,V,BTC-PERP,BTC,USDC,,TRUE,TRUE,STABLE,BASE_ASSET,FALSE,TRUE,Vertex
BTCUSD_PERP.0,0,XBTUSD,BTC,USD,,TRUE,TRUE,COIN,QUOTE_ASSET,FALSE,TRUE,BitMEX
